username;hashtags;type;post_url;media_url;timestamp;date;comments;likes;caption;username_id;id;geotag_name;geotag_coordinates
itsdougthepug;;photo;https://www.instagram.com/p/BvCNiVRgVCP;https://scontent-amt2-1.cdninstagram.com/vp/dfdd51f984dad3047bb13fccf9f943fa/5D469DB1/t51.2885-15/e35/53293042_384186612401382_2091683269087573505_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552664912;15-3-2019 16:48;404;99797;“‪Have u ever seen a happier thumb‬” -Doug;272308462;2,00022E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/Bu_vW4VAMgm;https://scontent-amt2-1.cdninstagram.com/vp/edd11533475e41ecf0d4dffa86dd14d8/5D4E1874/t51.2885-15/e35/53641837_2191215424273588_8802701833928957512_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552581981;14-3-2019 17:46;984;107319;“‪U know I had to flex my mini Jordans” -Doug;272308462;1,99953E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/Bu6h4TNgkWe;https://scontent-amt2-1.cdninstagram.com/vp/0b5467af12f7a4b9a6d1883f69e64f4c/5D3D6289/t51.2885-15/e35/54512092_2192483791011888_8618864618405257208_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552407142;12-3-2019 17:12;415;87388;“‪This time change is really messing me up‬” -Doug;272308462;1,99806E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/Bu36H8Jg8I1;https://scontent-amt2-1.cdninstagram.com/vp/86145115be70c1554cd134a788aac212/5D4A277D/t51.2885-15/e35/53285787_2520339838202402_7336736148417519351_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552319190;11-3-2019 16:46;1027;129065;“‪I love u to the moon and back” -Doug;;;;
•;;;;;;;;;;;;;
"Magical photo by @brandonwoelfel""";272308462;1,99732E+18;;;;;;;;;;;
itsdougthepug;dougthepugxclaires;photo;https://www.instagram.com/p/BuzybTNAjAb;https://scontent-amt2-1.cdninstagram.com/vp/bed4d7033ed93d452c729ee41cdbd25b/5D3D0347/t51.2885-15/e35/52111553_629105907547171_4557850536779842646_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552180937;10-3-2019 2:22;762;138567;“When ur fans always blow ur mind” -Doug;;;;
•;;;;;;;;;;;;;
Nashville;" thanks for a sold out meet and greet today @clairesstores!! Announcing another date in a new city soon...but where do u want me to come next? #dougthepugxclaires""";272308462;1,99616E+18;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/Buy5IpEAP7O;https://scontent-amt2-1.cdninstagram.com/vp/791b392a04e73135d363e296479503cd/5D29EC2E/t51.2885-15/e35/53275064_325015798131307_2707540078093437067_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552150899;9-3-2019 18:01;674;105044;“‪When u immediately remember that ur lactose intolerant” -Doug;272308462;1,99591E+18;;
itsdougthepug;internationalwomensday;photo;https://www.instagram.com/p/BuwQ-fNgqbJ;https://scontent-amt2-1.cdninstagram.com/vp/8806237d5a94ad9936d1e28c0fca443c/5D3C92D6/t51.2885-15/e35/52967951_358297308231487_3930282879580889101_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552062736;8-3-2019 17:32;529;136783;Happy #internationalwomensday to all the ladies out there!;272308462;1,99517E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/ButwlmgAQGJ;https://scontent-amt2-1.cdninstagram.com/vp/27cd1fd3f4a4d33798208434b4291871/5D2B99F5/t51.2885-15/e35/54230477_624423718006557_565803599008026680_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551978646;7-3-2019 18:10;322;78868;“‪When ur a pug u always wake up this cool” -Doug;272308462;1,99446E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BurMy45gwSi;https://scontent-amt2-1.cdninstagram.com/vp/04077b24c9a067894769c1c2fb0b3d35/5D37A984/t51.2885-15/e35/52964902_2312618185733262_8274885296544708545_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551892771;6-3-2019 18:19;566;101144;“‪When u forget ur headphones and now u have to talk to people‬” -Doug;272308462;1,99374E+18;;
itsdougthepug;nationalpancakeday;photo;https://www.instagram.com/p/BuopqjDggvp;https://scontent-amt2-1.cdninstagram.com/vp/b469c93687158e2c80426e99d6a85e01/5D49FFBE/t51.2885-15/e35/52820334_2001649636803571_7181365409761598777_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551807244;5-3-2019 18:34;757;95699;“‪How many pugcakes can u eat in one sitting‬” -Doug;;;;
•;;;;;;;;;;;;;
"Happy #nationalpancakeday 🥞""";272308462;1,99303E+18;;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BumCKZmA1_R;https://scontent-amt2-1.cdninstagram.com/vp/066aa4736329ff1b58cb02d4e0fa5791/5D4A0E25/t51.2885-15/e35/51803962_701476966916780_8280880630641290372_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1551719425;4-3-2019 18:10;624;102427;‪I’m a sucker for u 🍭‬;272308462;1,99229E+18;;
